File,Temp C
29,300
30,286
31,280
32,270
33,260
34,250
35,240
36,232
37,220
38,204
39,200
40,190
41,179
42,172
43,162
44,151
45,141
46,131
47,121
48,112
49,100
50,90
51,80
52,71
53,61
54,51
55,41
56,32
